Ano,Código da Área,Área de Avaliação,Nome da IES,Categoria Administrativa,Modalidade de Ensino,Município do Curso,Estado,Concluintes Inscritos,Concluintes Participantes,Conceito Enade (Contínuo),Conceito Enade (Faixa)
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE DE BRASÍLIA,,,BRASILIA,DF,30,18,2.88709079087019,3.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE SERGIPE,,,SAO CRISTOVAO,SE,1,1,0.0,0.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DO AMAZONAS,,,MANAUS,AM,3,3,3.05521898566982,4.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DO PIAUÍ,,,TERESINA,PI,28,20,1.64248868132569,2.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE OURO PRETO,,,OURO PRETO,MG,3,3,1.8815300773694,2.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE SÃO CARLOS,,,SAO CARLOS,SP,6,4,3.67039289753936,4.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE VIÇOSA,,,VICOSA,MG,6,6,3.80378326575164,4.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE ESTADUAL DE LONDRINA,,,LONDRINA,PR,9,7,1.84405273188071,2.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DO RIO GRANDE,,,RIO GRANDE,RS,7,5,1.62667618947083,2.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,ITUIUTABA,MG,3,3,2.08829988105037,3.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,,UBERLANDIA,MG,36,8,2.20472662561136,3.0
2014,701,MATEMÁTICA (BACHARELADO),PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,,,PORTO ALEGRE,RS,1,1,0.0,0.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE PRESBITERIANA MACKENZIE,,,SAO PAULO,SP,4,4,1.96079570769619,3.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE ESTADUAL DE SANTA CRUZ,,,ILHEUS,BA,1,1,0.0,0.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE ESTADUAL DE CAMPINAS,,,CAMPINAS,SP,14,11,0.0,1.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,,,RIO CLARO,SP,11,10,1.81861872837085,2.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,,,SAO JOSE DO RIO PRETO,SP,18,15,2.28799205943408,3.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE ESTADUAL DE MARINGÁ,,,MARINGA,PR,12,9,2.66468692385411,3.0
2014,701,MATEMÁTICA (BACHARELADO),PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,,,RIO DE JANEIRO,RJ,7,6,4.7241680847041,5.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,,,RIO DE JANEIRO,RJ,10,4,2.29779763743848,3.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,,,NATAL,RN,9,6,1.46422466709344,2.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DO PARANÁ,,,CURITIBA,PR,77,61,1.67944990727068,2.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL FLUMINENSE,,,NITEROI,RJ,9,6,1.20992857830316,2.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL FLUMINENSE,,,SANTO ANTONIO DE PADUA,RJ,1,1,0.0,0.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL FLUMINENSE,,,VOLTA REDONDA,RJ,1,1,0.0,0.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,,,SAO MATEUS,ES,4,4,2.32546834505147,3.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,,,VITORIA,ES,8,7,2.99057271102838,4.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,,,NOVA IGUACU,RJ,3,3,0.367568581961233,1.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,,,SEROPEDICA,RJ,6,4,2.59503304350037,3.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE MINAS GERAIS,,,BELO HORIZONTE,MG,30,21,3.05873662529739,4.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE JUIZ DE FORA,,,JUIZ DE FORA,MG,2,2,3.96212795070594,5.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE ALAGOAS,,,MACEIO,AL,17,16,2.94917993315955,4.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DA BAHIA,,,SALVADOR,BA,13,7,2.43823570527269,3.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DA PARAÍBA,,,JOAO PESSOA,PB,6,3,2.98713142397138,4.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE PERNAMBUCO,,,RECIFE,PE,2,2,2.89747685846768,3.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,,,PORTO ALEGRE,RS,20,19,3.03391218338797,4.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE SANTA MARIA,,,SANTA MARIA,RS,2,2,0.919784757159176,1.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DO CEARÁ,,,FORTALEZA,CE,4,4,4.11972636336928,5.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE GOIÁS,,,GOIANIA,GO,14,13,2.72119776863017,3.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE SANTA CATARINA,,,FLORIANOPOLIS,SC,9,7,3.31661351019086,4.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,,,RIO DE JANEIRO,RJ,26,25,3.60032553826518,4.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE SÃO PAULO,,,SAO JOSE DOS CAMPOS,SP,21,14,2.77126088197659,3.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI,,,ITAJUBA,MG,6,6,2.79559371407067,3.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE RORAIMA,,,BOA VISTA,RR,6,5,1.72961560369657,2.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,,,CAMPINA GRANDE,PB,12,8,3.12618179908849,4.0
2014,701,MATEMÁTICA (BACHARELADO),UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,,,CRUZ DAS ALMAS,BA,1,1,0.0,0.0
2014,701,MATEMÁTICA (BACHARELADO),FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,,,SANTO ANDRE,SP,3,2,3.35425956348275,4.0
2014,702,MATEMÁTICA (LICENCIATURA),UNIVERSIDADE FEDERAL DE MATO GROSSO,,,CUIABA,MT,15,12,3.18165923951058,4.0
2014,702,MATEMÁTICA (LICENCIATURA),UNIVERSIDADE FEDERAL DE MATO GROSSO,,,PONTAL DO ARAGUAIA,MT,6,6,3.02374909585006,4.0
2014,702,MATEMÁTICA (LICENCIATURA),UNIVERSIDADE FEDERAL DE MATO GROSSO,,,RONDONOPOLIS,MT,8,8,2.41030894997241,3.0
2014,702,MATEMÁTICA (LICENCIATURA),UNIVERSIDADE FEDERAL DE MATO GROSSO,,,SINOP,MT,13,9,2.21024398918395,3.0
2014,702,MATEMÁTICA (LICENCIATURA),UNIVERSIDADE DE BRASÍLIA,,,BRASILIA,DF,61,43,4.11682254555032,5.0
2014,702,MATEMÁTICA (LICENCIATURA),UNIVERSIDADE FEDERAL DE SERGIPE,,,ITABAIANA,SE,21,20,2.40609196309866,3.0
2014,702,MATEMÁTICA (LICENCIATURA),UNIVERSIDADE FEDERAL DE SERGIPE,,,SAO CRISTOVAO,SE,44,30,2.61721250116236,3.0
